relation_id,species_id,cite_id
533,Onychoprion lunatus,citation6
534,Onychoprion lunatus,citation172
535,Pagophila eburnea,citation56
536,Pagophila eburnea,citation112
537,Pagophila eburnea,citation267
538,Pagophila eburnea,citation268
539,Pagophila eburnea,citation288
540,Phaetusa simplex,citation102
541,Procelsterna albivitta,citation102
542,Procelsterna cerulea,citation102
543,Rhodostethia rosea,citation40
544,Rhodostethia rosea,citation267
545,Rissa brevirostris,citation44
546,Rissa brevirostris,citation128
547,Rissa brevirostris,citation40
548,Rissa brevirostris,citation297
549,Rissa brevirostris,citation16
550,Rissa tridactyla,citation54
551,Rissa tridactyla,citation55
552,Rissa tridactyla,citation128
553,Rissa tridactyla,citation11
554,Rissa tridactyla,citation267
555,Rissa tridactyla,citation16
556,Rissa tridactyla,citation33
557,Rissa tridactyla,citation239
558,Rynchops albicollis,citation102
559,Rynchops flavirostris,citation102
560,Rynchops niger,citation221
561,Rynchops niger,citation102
562,Rynchops niger,citation16
563,Rynchops niger,citation71
564,Saundersilarus saundersi,citation40
565,Sterna acuticauda,citation102
566,Sterna aurantia,citation102
567,Sterna aurantia,citation180
568,Sterna dougallii,citation189
569,Sterna dougallii,citation103
570,Sterna dougallii,citation266
571,Sterna dougallii,citation16
572,Sterna dougallii,citation222
573,Sterna dougallii,citation171
574,Sterna forsteri,citation102
575,Sterna hirundinacea,citation102
576,Sterna hirundinacea,citation274
577,Sterna hirundo,citation9
578,Sterna hirundo,citation104
579,Sterna hirundo,citation237
580,Sterna hirundo,citation190
581,Sterna hirundo,citation16
582,Sterna hirundo,citation72
583,Sterna paradisaea,citation63
584,Sterna paradisaea,citation155
585,Sterna paradisaea,citation236
586,Sterna paradisaea,citation237
587,Sterna paradisaea,citation267
588,Sterna paradisaea,citation16
589,Sterna repressa,citation102
590,Sterna striata,citation102
591,Sterna sumatrana,citation155
592,Sterna sumatrana,citation102
593,Sterna trudeaui,citation102
594,Sterna virgata,citation102
595,Sterna virgata,citation132
596,Sterna vittata,citation102
597,Sterna vittata,citation132
598,Sternula albifrons,citation102
599,Sternula albifrons,citation134
600,Sternula albifrons,citation196
601,Sternula albifrons,citation243
602,Sternula antillarum,citation130
603,Sternula antillarum,citation164
604,Sternula antillarum,citation53
605,Sternula antillarum,citation279
606,Sternula antillarum,citation16
607,Sternula balaenarum,citation102
608,Sternula lorata,citation102
609,Sternula lorata,citation310
610,Sternula nereis,citation102
611,Sternula saundersi,citation102
612,Sternula superciliaris,citation102
613,Thalasseus bengalensis,citation102
614,Thalasseus bergii,citation155
615,Thalasseus bergii,citation102
616,Thalasseus bernsteini,citation102
617,Thalasseus elegans,citation244
618,Thalasseus elegans,citation43
619,Thalasseus maximus,citation102
620,Thalasseus maximus,citation16
621,Thalasseus maximus,citation52
622,Thalasseus sandvicensis acuflavida,citation154
623,Thalasseus sandvicensis acuflavida,citation257
624,Thalasseus sandvicensis acuflavida,citation16
625,Thalasseus sandvicensis eurygnatha,citation257
626,Xema sabini,citation40
627,Xema sabini,citation267
628,Fregetta grallaria,citation60
629,Fregetta grallaria,citation292
630,Fregetta grallaria,citation293
631,Fregetta maoriana,citation51
632,Fregetta tropica,citation60
633,Fregetta tropica,citation292
634,Fregetta tropica,citation293
635,Garrodia nereis,citation60
636,Garrodia nereis,citation292
637,Garrodia nereis,citation293
638,Nesofregetta fuliginosa,citation46
639,Nesofregetta fuliginosa,citation248
640,Oceanites gracilis,citation46
641,Oceanites gracilis galapagoensis,citation191
642,Oceanites oceanicus,citation58
643,Oceanites oceanicus,citation60
644,Oceanites oceanicus,citation293
645,Oceanites oceanicus chilensis,citation124
646,Oceanites oceanicus exasperatus,citation18
647,Oceanites oceanicus oceanicus,citation149
648,Oceanites pincoyae,citation124
649,Pelagodroma marina,citation60
650,Pelagodroma marina,citation292
651,Pelagodroma marina,citation293
652,Pedionomus torquatus,citation191
653,Pelecanus conspicillatus,citation162
654,Pelecanus conspicillatus,citation143
655,Pelecanus crispus,citation57
656,Pelecanus crispus,citation143
657,Pelecanus erythrorhynchos,citation85
658,Pelecanus erythrorhynchos,citation143
659,Pelecanus occidentalis,citation245
660,Pelecanus occidentalis,citation203
661,Pelecanus occidentalis,citation143
662,Pelecanus onocrotalus,citation220
663,Pelecanus onocrotalus,citation129
664,Pelecanus onocrotalus,citation46
665,Pelecanus onocrotalus,citation143
666,Pelecanus philippensis,citation181
667,Pelecanus philippensis,citation143
668,Pelecanus rufescens,citation42
669,Pelecanus rufescens,citation70
670,Pelecanus rufescens,citation143
671,Pelecanus thagus,citation191
672,Phaethon aethereus,citation269
673,Phaethon aethereus,citation119
674,Phaethon aethereus,citation197
675,Phaethon lepturus,citation269
676,Phaethon lepturus,citation162
677,Phaethon lepturus,citation158
678,Phaethon lepturus,citation225
679,Phaethon rubricauda,citation89
680,Phaethon rubricauda,citation162
681,Phaethon rubricauda,citation247
682,Phaethon rubricauda,citation16
683,Phaethon rubricauda,citation251
684,Microcarbo africanus,citation197
685,Microcarbo africanus,citation143
686,Microcarbo coronatus,citation197
687,Microcarbo coronatus,citation143
688,Microcarbo melanoleucos,citation162
689,Microcarbo melanoleucos,citation197
690,Microcarbo niger,citation197
691,Microcarbo niger,citation143
692,Microcarbo pygmaeus,citation197
693,Microcarbo pygmaeus,citation143
694,Phalacrocorax bransfieldensis,citation162
695,Phalacrocorax bransfieldensis,citation197
696,Phalacrocorax georgianus,citation162
697,Phalacrocorax georgianus,citation197
698,Phalacrocorax aristotelis,citation215
699,Phalacrocorax aristotelis,citation50
700,Phalacrocorax aristotelis,citation143
701,Phalacrocorax aristotelis,citation33
702,Phalacrocorax atriceps,citation162
703,Phalacrocorax atriceps,citation143
704,Phalacrocorax auritus,citation50
705,Phalacrocorax auritus,citation78
706,Phalacrocorax auritus,citation260
707,Phalacrocorax auritus,citation83
708,Phalacrocorax auritus,citation127
709,Phalacrocorax bougainvilliorum,citation197
710,Phalacrocorax brasilianus,citation199
711,Phalacrocorax brasilianus,citation277
712,Phalacrocorax campbelli,citation162
713,Phalacrocorax campbelli,citation197
714,Phalacrocorax capensis,citation197
715,Phalacrocorax capensis,citation143
716,Phalacrocorax capillatus,citation143
717,Phalacrocorax carbo,citation50
718,Phalacrocorax carbo,citation162
719,Phalacrocorax carbo,citation143
720,Phalacrocorax carbo,citation91
721,Phalacrocorax carunculatus,citation162
722,Phalacrocorax carunculatus,citation197
723,Phalacrocorax chalconotus,citation197
724,Phalacrocorax colensoi,citation162
725,Phalacrocorax colensoi,citation197
726,Phalacrocorax featherstoni,citation197
727,Phalacrocorax fuscescens,citation162
728,Phalacrocorax fuscescens,citation197
729,Phalacrocorax fuscicollis,citation197
730,Phalacrocorax gaimardi,citation197
731,Phalacrocorax gaimardi,citation143
732,Phalacrocorax harrisi,citation118
733,Phalacrocorax harrisi,citation197
734,Phalacrocorax harrisi,citation143
735,Phalacrocorax magellanicus,citation197
736,Phalacrocorax neglectus,citation197
737,Phalacrocorax nigrogularis,citation197
738,Phalacrocorax nigrogularis,citation143
739,Phalacrocorax onslowi,citation162
740,Phalacrocorax onslowi,citation197
741,Phalacrocorax pelagicus,citation50
742,Phalacrocorax pelagicus,citation133
743,Phalacrocorax pelagicus,citation16
744,Phalacrocorax penicillatus,citation23
745,Phalacrocorax penicillatus,citation24
746,Phalacrocorax penicillatus,citation143
747,Phalacrocorax penicillatus,citation83
748,Phalacrocorax penicillatus,citation289
749,Phalacrocorax penicillatus,citation16
750,Phalacrocorax perspicillatus,citation191
751,Phalacrocorax punctatus,citation162
752,Phalacrocorax punctatus,citation197
753,Phalacrocorax punctatus,citation143
754,Phalacrocorax ranfurlyi,citation162
755,Phalacrocorax ranfurlyi,citation197
756,Phalacrocorax sulcirostris,citation162
757,Phalacrocorax sulcirostris,citation197
758,Phalacrocorax urile,citation50
759,Phalacrocorax urile,citation197
760,Phalacrocorax urile,citation143
761,Phalacrocorax varius,citation162
762,Phalacrocorax verrucosus,citation162
763,Pluvianellus socialis,citation191
764,Pluvianus aegyptius,citation191
765,Aphrodroma brevirostris,citation60
766,Aphrodroma brevirostris,citation292
767,Aphrodroma brevirostris,citation46
768,Ardenna bulleri,citation162
769,Ardenna bulleri,citation292
770,Ardenna bulleri,citation46
771,Ardenna carneipes,citation162
772,Ardenna carneipes,citation292
773,Ardenna carneipes,citation46
774,Ardenna carneipes,citation13
775,Ardenna creatopus,citation162
776,Ardenna creatopus,citation292
777,Ardenna creatopus,citation46
778,Ardenna gravis,citation162
779,Ardenna gravis,citation292
780,Ardenna gravis,citation46
781,Ardenna grisea,citation233
782,Ardenna grisea,citation60
783,Ardenna grisea,citation46
784,Ardenna pacifica,citation90
785,Ardenna pacifica,citation162
786,Ardenna pacifica,citation292
787,Ardenna pacifica,citation300
788,Ardenna pacifica,citation16
789,Ardenna pacifica,citation64
790,Ardenna tenuirostris,citation253
791,Ardenna tenuirostris,citation58
792,Ardenna tenuirostris,citation60
793,Ardenna tenuirostris,citation109
794,Ardenna tenuirostris,citation64
795,Bulweria bifax,citation191
796,Bulweria bulwerii,citation6
797,Bulweria bulwerii,citation174
798,Bulweria bulwerii,citation162
799,Bulweria bulwerii,citation292
800,Bulweria bulwerii,citation165
801,Bulweria fallax,citation46
802,Calonectris borealis,citation162
