ord,fam,genus,species,subspecies,species_id,species_id_html,synonyms
CHARADRIIFORMES,CHARADRIIDAE,Peltohyas,australis,,Peltohyas australis,Peltohyasaustralis,Charadrius australis|Peltohyas australis
CHARADRIIFORMES,CHARADRIIDAE,Phegornis,mitchellii,,Phegornis mitchellii,Phegornismitchellii,
CHARADRIIFORMES,CHARADRIIDAE,Pluvialis,apricaria,,Pluvialis apricaria,Pluvialisapricaria,
CHARADRIIFORMES,CHARADRIIDAE,Pluvialis,dominica,,Pluvialis dominica,Pluvialisdominica,Pluvialis dominicus dominicus
CHARADRIIFORMES,CHARADRIIDAE,Pluvialis,fulva,,Pluvialis fulva,Pluvialisfulva,
CHARADRIIFORMES,CHARADRIIDAE,Pluvialis,squatarola,,Pluvialis squatarola,Pluvialissquatarola,
CHARADRIIFORMES,CHARADRIIDAE,Thinornis,cucullatus,,Thinornis cucullatus,Thinorniscucullatus,Charadrius rubricollis rubricollis |Thinornis rubricollis
CHARADRIIFORMES,CHARADRIIDAE,Thinornis,novaeseelandiae,,Thinornis novaeseelandiae,Thinornisnovaeseelandiae,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,albiceps,,Vanellus albiceps,Vanellusalbiceps,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,armatus,,Vanellus armatus,Vanellusarmatus,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,chilensis,,Vanellus chilensis,Vanelluschilensis,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,cinereus,,Vanellus cinereus,Vanelluscinereus,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,coronatus,,Vanellus coronatus,Vanelluscoronatus,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,crassirostris,,Vanellus crassirostris,Vanelluscrassirostris,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,duvaucelii,,Vanellus duvaucelii,Vanellusduvaucelii,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,gregarius,,Vanellus gregarius,Vanellusgregarius,Chettusia gregaria gregaria
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,indicus,,Vanellus indicus,Vanellusindicus,Hoplopterus indicus |Hoplopterus indicus indicus
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,leucurus,,Vanellus leucurus,Vanellusleucurus,Chettusia leucura leucura
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,lugubris,,Vanellus lugubris,Vanelluslugubris,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,macropterus,,Vanellus macropterus,Vanellusmacropterus,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,malarbaricus,,Vanellus malarbaricus,Vanellusmalarbaricus,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,melanocephalus,,Vanellus melanocephalus,Vanellusmelanocephalus,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,melanopterus,,Vanellus melanopterus,Vanellusmelanopterus,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,miles,,Vanellus miles,Vanellusmiles,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,novaehollandiae,,Vanellus novaehollandiae,Vanellusnovaehollandiae,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,resplendens,,Vanellus resplendens,Vanellusresplendens,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,senegallus,,Vanellus senegallus,Vanellussenegallus,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,spinosus,,Vanellus spinosus,Vanellusspinosus,Hoplopterus spinosus |Hoplopterus spinosus spinosus
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,superciliosus,,Vanellus superciliosus,Vanellussuperciliosus,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,tectus,,Vanellus tectus,Vanellustectus,Hoplopterus tectus |Hoplopterus tectus tectus
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,tricolor,,Vanellus tricolor,Vanellustricolor,
CHARADRIIFORMES,CHARADRIIDAE,Vanellus,vanellus,,Vanellus vanellus,Vanellusvanellus,
CHARADRIIFORMES,CHIONIDAE,Chionis,albus,,Chionis albus,Chionisalbus,Chionis alba
CHARADRIIFORMES,CHIONIDAE,Chionis,minor,,Chionis minor,Chionisminor,
PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,amsterdamensis,,Diomedea amsterdamensis,Diomedeaamsterdamensis,
PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,antipodensis,,Diomedea antipodensis,Diomedeaantipodensis,
PROCELLARIIFORMES,DIOMEDEIDAE,Diomedea,dabbenena,,Diomedea dabbenena,Diomedeadabbenena,Diomedea chionoptera chionoptera
