cite_id,citation_name,citation
citation280,Tickell 1968,"TICKELL, W. L. N., 1968. The biology of the great albatrosses Diomedea exulans and Diomedea epomophora. Antarctic Research Ser. 12: 1-55."
citation281,Underhill 1999,"UNDERHILL, L. G., P. A. BARTLETT, L. BAUMANN, R. J. M. CRAWFORD, B. M. DYER, A GILDENHUYS, D. C. NEL, T. B., AND OTHERS. Mortality and survival of African Penguins Spheniscus demersus involved in the Apollo Sea oil spill: an evaluation of rehabilitation efforts. Ibis 141: 29-37"
citation282,Veen 1980,"VEEN, J. 1980. Breeding behaviour and breeding success of a colony of the Little Gulls Larus minutus in the Netherlands. Limosa 53:73-83."
citation283,Verbeek 1993,"VERBEEK, N. A. M. 1993. Glaucous-winged Gull (Larus glaucescens). No. 59 in The Birds of North America, (A. Poole and F. Gill, eds). Philadelphia: The Academy of Natural Sciences; Washington, D.C.: The American Ornithologists’ Union.    "
citation284,Vermeer 1963,"VERMEER, K. 1963. The breeding ecology of the Glaucous-winged Gull (Larus glaucescens) on Mandarte Island. B.C. Occasional Papers, British Columbia Provincial Museum 13:1-104."
citation285,Vermeer 1970,"VERMEER, K. 1970. Breeding biology of California and Ring-billed Gulls: a study of ecological adaptation to the inland habitat. Canadian Wildlife Service Report Series 12:1-52."
citation286,Vermeer et al 1993,"VERMEER, K., K. H. MORGAN AND G. E. J. SMITH. 1993. Nesting biology and mortality of Pigeon Guillemots in the Queen Charlotte Islands, British Columbia. Colon. Waterbirds 16:119-127."
citation287,Volkman and Trivelpiece 1980,"VOLKMAN, N. J., AND S. G. TRIVELPIECE. 1980.Growth in pygoscelid penguin chicks. Journal of Zoology 191: 521-530."
citation288,Vuilleumier 1995,"VUILLEUMIER, F. 1995. A large colony of Ivory Gulls (Pagophila eburnea) on Victoria Island, Russia. Alauda 63: 135-148."
citation289,Wallace and Wallace 1998,"WALLACE, E. A. H., AND G. E. WALLACE. 1998. Brandt’s Cormorant (Phalacrocorax penicillatus). No. 362 in The Birds of North America, (A. Poole and F. Gill, eds.). The Birds of North America, Inc., Philadelphia, PA."
citation290,Wanless et al 1996,"WANLESS, S., M. P. HARRIS, J. CALLADINE, AND P. ROTHERY. 1996. Modelling responses of herring gull and lesser black-backed gull populations to reduction of reproductive output: implications for control measures. Journal of Applied Ecology 33: 1420-1432."
citation291,Warham 1956,"WARHAM, J. 1956. The breeding biology of the Great-winged Petrel Pterodroma macroptera. Ibis 98: 171-185."
citation292,Warham 1990,"WARHAM, J. 1990. The Petrels. Their ecology and breeding systems. Academic Press, London."
citation293,Warham 1996,"WARHAM, J. 1996. The behaviour, population biology and physiology of the Petrels. Academic Press, London."
citation294,Watanuki 1987,"WATANUKI, Y. 1987. Breeding biology and foods of Rhinoceros Auklets on Teuri Island, Japan. Proc. NIPR Symp. Polar Biology. 1: 175-183."
citation295,Waugh et al 1999,"WAUGH, S. M., H. WEIMERSKIRCH, P. J. MOORE AND P. M. SAGAR. 1999. Population dynamics of Black-browed and Grey-headed Albatrosses Diomedea melanophrys and D. chrysostoma at Campbell Island, New Zealand, 1942-96. Ibis 141:216-225."
citation296,Weimerskirch et al 1992,"WIMERSKIRCH,  H., J. C. STAHL AND P. JOUVENTIN. 1992. The breeding biology and population dynamics of the King Penguin Aptenodytes patagonica on the Crozet Islands. Ibis 134: 107-117."
citation297,Welcker 2010,"WELCKER, J. B. MOE, C. BECH, M FLYNN, J. SCHULTNER, J. R. SPEAKMAN, AND G. W. GABRIELSEN. 2010. Evidence for an intrinsic energetic ceiling in free-ranging kittiwakes Rissa tridactyla. Journ. Animal Ecology 79: 205-213."
citation298,Whittow 1993a,"WHITTOW, G. C. 1993a. Black-footed Albatross (Diomedea nigripes). No. 65 in The Birds of North America  (A. Poole and F. Gill, eds.). Philadelphia: The Academy of Natural Sciences; Washington, D. C.: The American Ornithologists’ Union."
citation299,Whittow 1993b,"WHITTOW, G. C. 1993b. Laysan Albatross (Diomedea immutabilis). No. 66 in The Birds of North America (A. Poole and F. Gill, eds.). Philadelphia: The Academy of Natural Sciences; Washington, D. C.: The American Ornithologists’ Union."
citation300,Whittow 1997,"WHITTOW, G. C. 1997. Wedge-tailed Shearwater (Puffiinus pacificus). No. 305 in The Birds of North America  (A. Poole and F. Gill, eds.). Philadelphia: The Academy of Natural Sciences; Washington, D. C.: The American Ornithologists’ Union."
citation301,Wiley and Lee 1999,"WILEY, R. H., AND D. S. LEE. 1999. Parasitic Jaeger (Stercorarus parasiticus). No. 445 in The Birds of North America, (A. Poole and F. Gill, eds.). The Birds of North America, Inc., Philadelphia, PA."
citation302,Wiley and Lee 2000,"WILEY, R. H., AND D. S. LEE. 2000. Pomarine Jaeger (Stercorarius pomarinus). No. 483 in The Birds of North America, (A. Poole and F. Gill, eds.). The Birds of North America, Inc., Philadelphia, PA."
citation303,Williams 1995,"WILLIAMS, T. D. 1995. The Penguins. Oxford University Press, Oxford."
citation304,Winkler 1983,"WINKLER, D. W. 1983. Ecological and Behavioral determinants of clutch size: the California Gull (Larus californicus) in the Great Basin. Ph.D. dissertation, Univ. of California, Berkeley."
citation305,Winkler 1996,"WINKLER, D. W. 1996. California Gull (Larus californicus) No. 259 in The Birds of North America, (A. Poole and F. Gill, eds.). The Academy of Natural Sciences, Philadelphia, PA, and The American Ornithologists’ Union, Washington, D.C."
citation306,Wood 1971,"WOOD, R.C. 1971. Population dynamics of breeding South Polar skuas of unknown age. The Auk 88: 805-814."
citation307,Woodward 1972,"WOODWARD, P. W. 1972. The natural history of Kure Atoll, Northwestern Hawaiian Islands. Atoll Research Bulletin. No. 164."
citation308,Ydenberg 1989,"YDENBERG, R. C. 1989. Growth-mortality trade-offs and the evolution of juvenile life histories in the Alcidae. Ecology 70: 1494-1506."
citation309,Yorio et al 1996,"YARIO, P., P. D. BOERSMA AND S. SWANN. 1996. Breeding biology of the Dolphin Gull at Punta Tombo, Argentina. Condor 98: 208-215."
citation310,Zavalaga et al 2001,"ZAVALAGA, C., A. BERTOLERO, AND M. PLENGE. 2001. The Peruvian Tern, nesting and breeding strategies to reduce predator detection. Pacific Seabirds 28: 59. Abstract."
citation311,Unknown,Unknown
