brid,species_id,breeding_distribution_id,breeding_distribution,cite_id,username,dt
303,Larus brunnicephalus,1,Tm,citation311,grant,7/17/2016
304,Larus bulleri,1,Tm,citation311,grant,7/17/2016
305,Larus cachinnans,1,unknown,citation311,grant,7/17/2016
306,Larus californicus,1,Tm,citation311,grant,7/17/2016
307,Larus canus,1,SP,citation311,grant,7/17/2016
308,Larus canus,2,Tm,citation311,grant,7/17/2016
309,Larus cirrocephalus,1,STr,citation311,grant,7/17/2016
310,Larus cirrocephalus,2,Tr,citation311,grant,7/17/2016
311,Larus crassirostris,1,Tm,citation311,grant,7/17/2016
312,Larus crassirostris,2,STr,citation311,grant,7/17/2016
313,Larus delawarensis,1,Tm,citation311,grant,7/17/2016
314,Larus dominicanus,1,P-Tm,citation311,grant,7/17/2016
315,Larus fuliginosus,1,Tr,citation311,grant,7/17/2016
316,Larus fuscus,1,SP,citation311,grant,7/17/2016
317,Larus fuscus,2,Tm,citation311,grant,7/17/2016
318,Larus genei,1,Tm-Tr,citation311,grant,7/17/2016
319,Larus glaucescens,1,SP,citation311,grant,7/17/2016
320,Larus glaucescens,2,Tm,citation311,grant,7/17/2016
321,Larus glaucoides,1,SP,citation311,grant,7/17/2016
322,Larus glaucoides,2,Tm,citation311,grant,7/17/2016
323,Larus hartlaubii,1,STr,citation311,grant,7/17/2016
324,Larus heermanni,1,STr,citation311,grant,7/17/2016
325,Larus hemprichii,1,Tr,citation311,grant,7/17/2016
326,Larus hyperboreus,1,unknown,citation311,grant,7/17/2016
327,Larus ichthyaetus,1,Tm,citation311,grant,7/17/2016
328,Larus leucophthalmus,1,Tr,citation311,grant,7/17/2016
329,Larus livens,1,STr,citation311,grant,7/17/2016
330,Larus maculipennis,1,SP,citation311,grant,7/17/2016
331,Larus maculipennis,2,Tm,citation311,grant,7/17/2016
332,Larus marinus,1,SP,citation311,grant,7/17/2016
333,Larus marinus,2,Tm,citation311,grant,7/17/2016
334,Larus melanocephalus,1,Tm,citation311,grant,7/17/2016
335,Larus melanocephalus,2,STr,citation311,grant,7/17/2016
336,Larus michahellis,1,unknown,citation311,grant,7/17/2016
337,Larus modestus,1,STr,citation311,grant,7/17/2016
338,Larus novaehollandiae,1,Tm,citation311,grant,7/17/2016
339,Larus novaehollandiae,2,STr,citation311,grant,7/17/2016
340,Larus occidentalis,1,Tm,citation311,grant,7/17/2016
341,Larus occidentalis,2,STr,citation311,grant,7/17/2016
342,Larus pacificus,1,Tm,citation311,grant,7/17/2016
343,Larus pacificus,2,STr,citation311,grant,7/17/2016
344,Larus philadelphia,1,SP,citation311,grant,7/17/2016
345,Larus philadelphia,2,Tm,citation311,grant,7/17/2016
346,Larus pipixcan,1,Tm,citation311,grant,7/17/2016
347,Larus relictus,1,Tm,citation311,grant,7/17/2016
348,Larus ridibundus,1,SP,citation311,grant,7/17/2016
349,Larus ridibundus,2,Tm,citation311,grant,7/17/2016
350,Larus schistisagus,1,Tm,citation311,grant,7/17/2016
351,Larus scopulinus,1,Tm,citation311,grant,7/17/2016
352,Larus scoresbii,1,Tm,citation311,grant,7/17/2016
353,Larus serranus,1,STr,citation311,grant,7/17/2016
354,Larus serranus,2,Tr,citation311,grant,7/17/2016
355,Larus smithsonianus,1,unknown,citation311,grant,7/17/2016
356,Larus thayeri,1,unknown,citation311,grant,7/17/2016
357,Onychoprion aleuticus,1,SP,citation311,grant,7/17/2016
358,Onychoprion anaethetus,1,STr,citation311,grant,7/17/2016
359,Onychoprion anaethetus,2,Tr,citation311,grant,7/17/2016
360,Onychoprion fuscatus,1,Tr,citation311,grant,7/17/2016
361,Onychoprion lunatus,1,STr,citation311,grant,7/17/2016
