relation_id,feature_id,cite_id
840,240,citation60
841,211,citation308
842,212,citation308
843,213,citation308
844,214,citation308
845,215,citation308
846,216,citation308
847,217,citation308
848,218,citation308
849,219,citation308
850,220,citation308
851,221,citation308
852,222,citation308
853,223,citation308
854,224,citation308
855,225,citation308
856,226,citation308
857,227,citation308
858,228,citation308
859,229,citation308
860,230,citation308
861,231,citation308
862,232,citation308
863,233,citation308
864,234,citation308
865,235,citation308
866,236,citation308
867,237,citation308
868,238,citation308
869,239,citation308
870,240,citation308
871,211,citation185
872,212,citation185
873,213,citation185
874,214,citation185
875,215,citation185
876,216,citation185
877,217,citation185
878,218,citation185
879,219,citation185
880,220,citation185
881,221,citation185
882,222,citation185
883,223,citation185
884,224,citation185
885,225,citation185
886,226,citation185
887,227,citation185
888,228,citation185
889,229,citation185
890,230,citation185
891,231,citation185
892,232,citation185
893,233,citation185
894,234,citation185
895,235,citation185
896,236,citation185
897,237,citation185
898,238,citation185
899,239,citation185
900,240,citation185
901,211,citation184
902,212,citation184
903,213,citation184
904,214,citation184
905,215,citation184
906,216,citation184
907,217,citation184
908,218,citation184
909,219,citation184
910,220,citation184
911,221,citation184
912,222,citation184
913,223,citation184
914,224,citation184
915,225,citation184
916,226,citation184
917,227,citation184
918,228,citation184
919,229,citation184
920,230,citation184
921,231,citation184
922,232,citation184
923,233,citation184
924,234,citation184
925,235,citation184
926,236,citation184
927,237,citation184
928,238,citation184
929,239,citation184
930,240,citation184
931,211,citation200
932,212,citation200
933,213,citation200
934,214,citation200
935,215,citation200
936,216,citation200
937,217,citation200
938,218,citation200
939,219,citation200
940,220,citation200
941,221,citation200
942,222,citation200
943,223,citation200
944,224,citation200
945,225,citation200
946,226,citation200
947,227,citation200
948,228,citation200
949,229,citation200
950,230,citation200
951,231,citation200
952,232,citation200
953,233,citation200
954,234,citation200
955,235,citation200
956,236,citation200
957,237,citation200
958,238,citation200
959,239,citation200
960,240,citation200
961,211,citation19
962,212,citation19
