iucnid,species_id,iucn_status,red_list_criteria,year_assessed,population_trend,population_estimate,population_range,population_uncertainty,population_location
317,Larus scopulinus,LC,,2014,increasing,,,,
318,Larus scoresbii,LC,,2012,stable,,,,
319,Larus serranus,LC,,2012,unknown,,,,
320,Larus smithsonianus,LC,,2014,decreasing,,,,
321,Larus thayeri,LC,,2012,increasing,,,,
322,Onychoprion aleuticus,LC,,2012,stable,,,,
323,Onychoprion anaethetus,LC,,2012,unknown,,,,
324,Onychoprion fuscatus,LC,,2012,unknown,,,,
325,Onychoprion lunatus,LC,,2012,unknown,,,,
326,Pagophila eburnea,NT,,2012,decreasing,,"[10000,14000]",,
327,Phaetusa simplex,LC,,2012,stable,,,,
328,Procelsterna albivitta,LC,,2014,stable,,,,
329,Procelsterna cerulea,LC,,2014,stable,,,,
330,Rhodostethia rosea,LC,,2012,unknown,,,,
331,Rissa brevirostris,VU,A2ac+3c+4ac,2013,decreasing,,,,
332,Rissa tridactyla,LC,,2012,decreasing,,,,
333,Rynchops albicollis,VU,A2cde+3cde+4cde,2013,decreasing,,,,
334,Rynchops flavirostris,NT,,2012,decreasing,,,,
335,Rynchops niger,LC,,2012,decreasing,,,,
336,Saundersilarus saundersi,VU,A3cde+4cde,2012,decreasing,,,,
337,Sterna acuticauda,EN,A2cde+3cde+4cde,2012,decreasing,,,,
338,Sterna aurantia,NT,,2012,decreasing,,,,
339,Sterna dougallii,LC,,2012,unknown,,,,
340,Sterna forsteri,LC,,2012,increasing,,,,
341,Sterna hirundinacea,LC,,2012,decreasing,,,,
342,Sterna hirundo,LC,,2012,decreasing,,,,
343,Sterna paradisaea,LC,,2012,decreasing,,,,
344,Sterna repressa,LC,,2012,decreasing,,,,
345,Sterna striata,LC,,2013,decreasing,,,,
346,Sterna sumatrana,LC,,2012,unknown,,,,
347,Sterna trudeaui,LC,,2012,stable,,,,
348,Sterna virgata,NT,,2012,stable,,,,
349,Sterna vittata,LC,,2013,unknown,,,,
350,Sternula albifrons,LC,,2012,decreasing,,,,
351,Sternula antillarum,LC,,2012,decreasing,,,,
352,Sternula balaenarum,NT,,2012,stable,,,,
353,Sternula lorata,EN,C2a(i),2012,decreasing,,,,
354,Sternula nereis,VU,C1,2012,decreasing,,,,
355,Sternula saundersi,LC,,2012,decreasing,,,,
356,Sternula superciliaris,LC,,2012,stable,,,,
357,Thalasseus bengalensis,LC,,2012,stable,,,,
358,Thalasseus bergii,LC,,2012,stable,,,,
359,Thalasseus bernsteini,CR,"C2a(i,ii); D",2013,decreasing,6,,,
360,Thalasseus elegans,NT,,2012,stable,,,,
361,Thalasseus maximus,LC,,2012,stable,,,,
362,Thalasseus sandvicensis acuflavida,LC,,2012,stable,,,,
363,Thalasseus sandvicensis eurygnatha,LC,,2015,stable,,,,
364,Xema sabini,LC,,2012,stable,,,,
365,Fregetta grallaria,LC,,2012,decreasing,,,,
366,Fregetta maoriana,CR,D,2013,unknown,,,,
367,Fregetta tropica,LC,,2012,decreasing,,,,
368,Garrodia nereis,LC,,2012,decreasing,,,,
369,Nesofregetta fuliginosa,EN,C2a(i),2012,decreasing,,,,
370,Oceanites gracilis,DD,,2012,stable,,,,
371,Oceanites gracilis galapagoensis,DD,,2012,stable,,,,
372,Oceanites oceanicus,LC,,2012,stable,,,,
