feature_id,species_id,traits,mean,range,uncertainty,units,comments,study_year,study_location,citeid,username,dt
198,Brachyramphus brevirostris,fledging period,24,,ca,d,,,,citation311,grant,7/15/2016
199,Brachyramphus brevirostris,reproductive success,,,,%,,,,citation311,grant,7/15/2016
200,Brachyramphus brevirostris,hatching success,,,,%,,,,citation311,grant,7/15/2016
201,Brachyramphus brevirostris,fledging success,,,,%,,,,citation311,grant,7/15/2016
202,Brachyramphus brevirostris,max growth,,,,g/d,,,,citation311,grant,7/15/2016
203,Brachyramphus brevirostris,feeds per day,,,,#/d,,,,citation311,grant,7/15/2016
204,Brachyramphus brevirostris,post fledge care,,,,d,,,,citation311,grant,7/15/2016
205,Brachyramphus brevirostris,fledgling mass,,,,g,,,,citation311,grant,7/15/2016
206,Brachyramphus brevirostris,ratio fledgling to adult,,,,%,,,,citation311,grant,7/15/2016
207,Brachyramphus brevirostris,wing loading,,,,N/m^2,,,,citation311,grant,7/15/2016
208,Brachyramphus brevirostris,aspect ratio,,,,span^2/wing area,,,,citation311,grant,7/15/2016
209,Brachyramphus brevirostris,first year survival,,,,%,,,,citation311,grant,7/15/2016
210,Brachyramphus brevirostris,second year survival,,,,%,,,,citation311,grant,7/15/2016
211,Brachyramphus brevirostris,survival to breeding,,,,%,,,,citation311,grant,7/15/2016
212,Brachyramphus brevirostris,age first breed,,,,yrs,,,,citation311,grant,7/15/2016
213,Brachyramphus brevirostris,migration distance,,,,km,,,,citation311,grant,7/15/2016
214,Brachyramphus brevirostris,wingspan,,,,cm,,,,citation311,grant,7/15/2016
215,Brachyramphus brevirostris,max age,,,,yrs,,,,citation311,grant,7/15/2016
216,Brachyramphus brevirostris,annual survival,,,,%,,,,citation311,grant,7/15/2016
217,Brachyramphus brevirostris,foraging distance,,,,km,,,,citation311,grant,7/15/2016
218,Brachyramphus marmoratus,female mass,0.22,,,Kg,,,,citation311,grant,7/15/2016
219,Brachyramphus marmoratus,male mass,0.22,,,Kg,,,,citation311,grant,7/15/2016
220,Brachyramphus marmoratus,culmen,,,,mm,,,,citation311,grant,7/15/2016
221,Brachyramphus marmoratus,tarsus,,,,mm,,,,citation311,grant,7/15/2016
222,Brachyramphus marmoratus,tail,,,,mm,,,,citation311,grant,7/15/2016
223,Brachyramphus marmoratus,bmr,,,,kJ/d,,,,citation311,grant,7/15/2016
224,Brachyramphus marmoratus,rmr,,,,kJ/d,,,,citation311,grant,7/15/2016
225,Brachyramphus marmoratus,dee,,,,kJ/d/Kg,,,,citation311,grant,7/15/2016
226,Brachyramphus marmoratus,clutch size,1,,,N/A,,,,citation311,grant,7/15/2016
227,Brachyramphus marmoratus,egg mass,36,,,g,,,,citation311,grant,7/15/2016
228,Brachyramphus marmoratus,incubation period,29,,,d,,,,citation311,grant,7/15/2016
229,Brachyramphus marmoratus,fledging period,33.5,"[27,40]",,d,,,,citation311,grant,7/15/2016
230,Brachyramphus marmoratus,reproductive success,,,,%,,,,citation311,grant,7/15/2016
231,Brachyramphus marmoratus,hatching success,,,,%,,,,citation311,grant,7/15/2016
232,Brachyramphus marmoratus,fledging success,,,,%,,,,citation311,grant,7/15/2016
233,Brachyramphus marmoratus,max growth,,,,g/d,,,,citation311,grant,7/15/2016
234,Brachyramphus marmoratus,feeds per day,,,,#/d,,,,citation311,grant,7/15/2016
235,Brachyramphus marmoratus,post fledge care,,,,d,,,,citation311,grant,7/15/2016
236,Brachyramphus marmoratus,fledgling mass,155,,,g,,,,citation311,grant,7/15/2016
237,Brachyramphus marmoratus,ratio fledgling to adult,70,,,%,,,,citation311,grant,7/15/2016
238,Brachyramphus marmoratus,wing loading,,,,N/m^2,,,,citation311,grant,7/15/2016
239,Brachyramphus marmoratus,aspect ratio,,,,span^2/wing area,,,,citation311,grant,7/15/2016
240,Brachyramphus marmoratus,first year survival,,"[30,60]",,%,,,,citation311,grant,7/15/2016
241,Brachyramphus marmoratus,second year survival,,,,%,,,,citation311,grant,7/15/2016
242,Brachyramphus marmoratus,survival to breeding,,,,%,,,,citation311,grant,7/15/2016
243,Brachyramphus marmoratus,age first breed,3,,,yrs,,,,citation311,grant,7/15/2016
244,Brachyramphus marmoratus,migration distance,,,,km,,,,citation311,grant,7/15/2016
245,Brachyramphus marmoratus,wingspan,44,,,cm,,,,citation311,grant,7/15/2016
246,Brachyramphus marmoratus,max age,,,,yrs,,,,citation311,grant,7/15/2016
247,Brachyramphus marmoratus,annual survival,,,,%,,,,citation311,grant,7/15/2016
248,Brachyramphus marmoratus,foraging distance,,,,km,,,,citation311,grant,7/15/2016
249,Brachyramphus perdix,female mass,,,,Kg,,,,citation311,grant,7/15/2016
250,Brachyramphus perdix,male mass,,,,Kg,,,,citation311,grant,7/15/2016
251,Brachyramphus perdix,culmen,,,,mm,,,,citation311,grant,7/15/2016
252,Brachyramphus perdix,tarsus,,,,mm,,,,citation311,grant,7/15/2016
253,Brachyramphus perdix,tail,,,,mm,,,,citation311,grant,7/15/2016
254,Brachyramphus perdix,bmr,,,,kJ/d,,,,citation311,grant,7/15/2016
255,Brachyramphus perdix,rmr,,,,kJ/d,,,,citation311,grant,7/15/2016
256,Brachyramphus perdix,dee,,,,kJ/d/Kg,,,,citation311,grant,7/15/2016
257,Brachyramphus perdix,clutch size,1,,,N/A,,,,citation311,grant,7/15/2016
