cnid,species_id,common_name_id,common_name
264,Diomedea sanfordi,1,Northern Royal Albatross
265,Phoebastria albatrus,1,Short-tailed Albatross
266,Phoebastria immutabilis,1,Laysan Albatross
267,Phoebastria irrorata,1,Waved Albatross
268,Phoebastria nigripes,1,Black-footed Albatross
269,Phoebetria fusca,1,Sooty Albatross
270,Phoebetria fusca,2,Dark-mantled Sooty Albatross
271,Phoebetria palpebrata,1,Light-mantled Albatross
272,Phoebetria palpebrata,2,Light-mantled Sooty Albatross
273,Thalassarche bulleri,1,Buller's Albatross
274,Thalassarche bulleri,2,Buller's Mollymawk
275,Thalassarche carteri,1,Indian Yellow-nosed Albatross
276,Thalassarche cauta,1,Shy Albatross
277,Thalassarche chlororhynchos,1,Atlantic Yellow-nosed Albatross
278,Thalassarche chlororhynchos,2,Yellow-nosed Albatross
279,Thalassarche chrysostoma,1,Grey-headed Albatross
280,Thalassarche chrysostoma,2,Grey-headed Mollymawk
281,Thalassarche eremita,1,Chatham Albatross
282,Thalassarche impavida,1,Campbell Albatross
283,Thalassarche melanophris,1,Black-browed Albatross
284,Thalassarche salvini,1,Salvin's Albatross
285,Thalassarche steadi,1,White-capped Albatross
286,Dromas ardeola,1,Crab-plover 
287,Fregata andrewsi,1,Christmas Frigatebird
288,Fregata andrewsi,2,Andrews' Frigatebird
289,Fregata aquila,1,Ascension Frigatebird
290,Fregata aquila,2,Ascension Is. Frigatebird
291,Fregata ariel,1,Lesser Frigatebird
292,Fregata magnificens,1,Magnificent Frigatebird
293,Fregata minor,1,Great Frigatebird
294,Cursorius coromandelicus,1,Indian Courser
295,Cursorius cursor,1,Cream-coloured Courser
296,Cursorius rufus,1,Burchell's Courser
297,Cursorius somalensis,1,Somali Courser
298,Cursorius temminckii,1,Temminck's Courser
299,Glareola cinerea,1,Grey Pratincole
300,Glareola lactea,1,Little Pratincole
301,Glareola maldivarum,1,Oriental Pratincole
302,Glareola nordmanni,1,Black-winged Pratincole
303,Glareola nuchalis,1,Rock Pratincole
304,Glareola ocularis,1,Madagascar Pratincole
305,Glareola pratincola,1,Collared Pratincole
306,Rhinoptilus bitorquatus,1,Jerdon's Courser
307,Rhinoptilus chalcopterus,1,Bronze-winged Courser
308,Rhinoptilus cinctus,1,Three-banded Courser
309,Smutsornis africanus,1,Double-banded Courser
310,Stiltia isabella,1,Australian Pratincole
311,Haematopus ater,1,Blackish Oystercatcher
312,Haematopus chathamensis,1,Chatham Oystercatcher
313,Haematopus chathamensis,2,Chatham Islands Oystercatcher
314,Haematopus chathamensis,3,Chatham Island Pied Oystercatcher
315,Haematopus fuliginosus,1,Sooty Oystercatcher
316,Haematopus leucopodus,1,Magellanic Oystercatcher
317,Haematopus longirostris,1,Pied Oystercatcher
318,Haematopus longirostris,2,Australian Pied Oystercatcher
319,Haematopus meadewaldoi,1,Canarian Oystercatcher
320,Haematopus meadewaldoi,2,Canarian Black Oystercatcher
321,Haematopus moquini,1,African Oystercatcher
322,Haematopus moquini,2,African Black Oystercatcher
323,Haematopus ostralegus,1,Eurasian Oystercatcher
324,Haematopus ostralegus,2,Pied Oystercatcher
325,Haematopus palliatus,1,American Oystercatcher
326,Haematopus unicolor,1,Variable Oystercatcher
327,Hydrobates castro,1,Band-rumped Storm-petrel
328,Hydrobates castro,2,Madeiran Storm-petrel
329,Hydrobates furcatus,1,Fork-tailed Storm-petrel
330,Hydrobates homochroa,1,Ashy Storm-petrel
331,Hydrobates hornbyi,1,Ringed Storm-petrel
332,Hydrobates hornbyi,2,Hornby's Storm-petrel
333,Hydrobates leucorhous,1,Leach's Storm-petrel
334,Hydrobates leucorhous,2,Leach's Petrel
335,Hydrobates macrodactylus,1,Guadalupe Storm-petrel
336,Hydrobates markhami,1,Markham's Storm-petrel
337,Hydrobates matsudairae,1,Matsudaira's Storm-petrel
338,Hydrobates melania,1,Black Storm-petrel
339,Hydrobates microsoma,1,Least Storm-petrel
340,Hydrobates monorhis,1,Swinhoe's Storm-petrel
341,Hydrobates monteiroi,1,Monteiro's Storm-petrel 
342,Hydrobates pelagicus,1,European Storm-petrel
343,Hydrobates pelagicus,2,British Storm-petrel
344,Hydrobates tethys,1,Wedge-rumped Storm-petrel
345,Hydrobates tristrami,1,Tristram's Storm-petrel
346,Ibidorhyncha struthersii,1,Ibisbill
347,Actophilornis africanus,1,African Jacana
348,Actophilornis albinucha,1,Madagascar Jacana
349,Hydrophasianus chirurgus,1,Pheasant-tailed Jacana
350,Irediparra gallinacea,1,Comb-crested Jacana
351,Jacana jacana,1,Wattled Jacana
352,Jacana spinosa,1,Northern Jacana
353,Metopidius indicus,1,Bronze-winged Jacana
354,Microparra capensis,1,Lesser Jacana
355,Anous minutus,1,Black Noddy
356,Anous stolidus,1,Brown Noddy
357,Anous stolidus,2,Common Noddy
358,Anous tenuirostris,1,Lesser Noddy
359,Anous tenuirostris,2,Sooty Noddy
360,Chlidonias albostriatus,1,Black-fronted Tern
361,Chlidonias hybrida,1,Whiskered Tern
362,Chlidonias leucopterus,1,White-winged Tern
363,Chlidonias leucopterus,2,White-winged Black Tern
364,Chlidonias niger,1,Black Tern
365,Creagrus furcatus,1,Swallow-tailed Gull
366,Gelochelidon macrotarsa,1,Australian Gull-billed Tern
367,Gelochelidon nilotica,1,Common Gull-billed Tern
368,Gygis alba,1,Common White Tern
369,Gygis alba,2,Fairy Tern
370,Gygis alba,3,Angel Tern
371,Gygis alba,4,White Tern
372,Gygis microrhyncha,1,Little White Tern
373,Hydrocoloeus minutus,1,Little Gull
374,Hydroprogne caspia,1,Caspian Tern
375,Larosterna inca,1,Inca Tern
376,Larus argentatus,1,European Herring Gull
377,Larus armenicus,1,Armenian Gull
378,Larus atlanticus,1,Olrog's Gull
379,Larus atricilla,1,Laughing Gull
380,Larus audouinii,1,Audouin's Gull
381,Larus belcheri,1,Belcher's Gull
382,Larus brunnicephalus,1,Brown-headed Gull
383,Larus bulleri,1,Black-billed Gull
384,Larus cachinnans,1,Caspian Gull
385,Larus californicus,1,California Gull
386,Larus canus,1,Mew Gull
387,Larus canus,2,Common Gull
388,Larus cirrocephalus,1,Grey-headed Gull
389,Larus cirrocephalus,2,Grey-hooded Gull
390,Larus crassirostris,1,Black-tailed Gull
391,Larus delawarensis,1,Ring-billed Gull
392,Larus dominicanus,1,Kelp Gull
393,Larus dominicanus,2,Southern Black-backed Gull
394,Larus fuliginosus,1,Lava Gull
395,Larus fuscus,1,Lesser Black-backed Gull
