Order,Family,Genus,Species,Synonyms,Common_names
CHARADRIIFORMES,LARIDAE,Rynchops,niger,Rhynchops niger niger,Black Skimmer
CHARADRIIFORMES,LARIDAE,Saundersilarus,saundersi,Larus saundersi,"Saunders's Gull, Chinese Black-headed Gull"
CHARADRIIFORMES,LARIDAE,Sterna,acuticauda,,Black-bellied Tern
CHARADRIIFORMES,LARIDAE,Sterna,aurantia,,River Tern
CHARADRIIFORMES,LARIDAE,Sterna,dougallii,,Roseate Tern
CHARADRIIFORMES,LARIDAE,Sterna,forsteri,,Forster's Tern
CHARADRIIFORMES,LARIDAE,Sterna,hirundinacea,,South American Tern
CHARADRIIFORMES,LARIDAE,Sterna,hirundo,,Common Tern
CHARADRIIFORMES,LARIDAE,Sterna,paradisaea,,Arctic Tern
CHARADRIIFORMES,LARIDAE,Sterna,repressa,,White-cheeked Tern
CHARADRIIFORMES,LARIDAE,Sterna,striata,,White-fronted Tern
CHARADRIIFORMES,LARIDAE,Sterna,sumatrana,,Black-naped Tern
CHARADRIIFORMES,LARIDAE,Sterna,trudeaui,,Snowy-crowned Tern
CHARADRIIFORMES,LARIDAE,Sterna,virgata,,Kerguelen Tern
CHARADRIIFORMES,LARIDAE,Sterna,vittata,,Antarctic Tern
CHARADRIIFORMES,LARIDAE,Sternula,albifrons,Sterna albifrons|Sternula albifrons|Sternula albifrons,Little Tern
CHARADRIIFORMES,LARIDAE,Sternula,antillarum,Sterna antillarum|Sternula antillarum,Least Tern
CHARADRIIFORMES,LARIDAE,Sternula,balaenarum,Sterna balaenarum,Damara Tern
CHARADRIIFORMES,LARIDAE,Sternula,lorata,Sterna lorata,Peruvian Tern
CHARADRIIFORMES,LARIDAE,Sternula,nereis,Sterna nereis|Sternula nereis subspecies nereis,Fairy Tern
CHARADRIIFORMES,LARIDAE,Sternula,saundersi,Sterna saundersi,"Saunders's Tern, Saunders' Little Tern"
CHARADRIIFORMES,LARIDAE,Sternula,superciliaris,Sterna superciliaris|Sternula superciliaris,Yellow-billed Tern
CHARADRIIFORMES,LARIDAE,Thalasseus,bengalensis,Sterna bengalensis|Thalasseus bengalensis,"Lesser Crested Tern, Lesser Crested-Tern"
CHARADRIIFORMES,LARIDAE,Thalasseus,bergii,Sterna bergii|Thalasseus bergii|Thalasseus bergii,"Greater Crested Tern, Crested Tern, Greater Crested Tern, Great Crested-Tern, Swift Tern"
CHARADRIIFORMES,LARIDAE,Thalasseus,bernsteini,Sterna bernsteini,"Chinese Crested Tern, Chinese Crested-Tern"
CHARADRIIFORMES,LARIDAE,Thalasseus,elegans,Sterna elegans|Thalasseus elegans|Thalasseus elegans,Elegant Tern
CHARADRIIFORMES,LARIDAE,Thalasseus,maximus,Sterna maxima|Thalasseus maximus|Thalasseus maximus,Royal Tern
CHARADRIIFORMES,LARIDAE,Thalasseus,sandvicensis,Sterna sandvicensis|Thalasseus sandvicensis|Thalasseus sandvicensis,Sandwich Tern
CHARADRIIFORMES,LARIDAE,Xema,sabini,Larus sabini |Larus sabini sabini|Larus sabini sabini|Larus sabini sabini,Sabine's Gull
CHARADRIIFORMES,PEDIONOMIDAE,Pedionomus,torquatus,,Plains-wanderer
CHARADRIIFORMES,PLUVIANELLIDAE,Pluvianellus,socialis,,Magellanic Plover
CHARADRIIFORMES,PLUVIANIDAE,Pluvianus,aegyptius,,"Egyptian Plover, Crocodile-bird"
CHARADRIIFORMES,RECURVIROSTRIDAE,Cladorhynchus,leucocephalus,,Banded Stilt
CHARADRIIFORMES,RECURVIROSTRIDAE,Himantopus,himantopus,Himantopus leucocephalus|Himantopus mexicanus,Black-winged Stilt
CHARADRIIFORMES,RECURVIROSTRIDAE,Himantopus,novaezelandiae,,Black Stilt
CHARADRIIFORMES,RECURVIROSTRIDAE,Recurvirostra,americana,,American Avocet
CHARADRIIFORMES,RECURVIROSTRIDAE,Recurvirostra,andina,,Andean Avocet
CHARADRIIFORMES,RECURVIROSTRIDAE,Recurvirostra,avosetta,,"Pied Avocet, Avocet"
CHARADRIIFORMES,RECURVIROSTRIDAE,Recurvirostra,novaehollandiae,,"Red-necked Avocet, Australian Red-necked Avocet"
CHARADRIIFORMES,ROSTRATULIDAE,Nycticryphes,semicollaris,Nycticryphes semicollaris|Nycticryphes semicollaris|Rostratula semicollaris,"South American Painted-snipe, American Painted-snipe"
CHARADRIIFORMES,ROSTRATULIDAE,Rostratula,australis,,"Australian Painted-snipe, Australian Painted-snipe"
CHARADRIIFORMES,ROSTRATULIDAE,Rostratula,benghalensis,,"Greater Painted-snipe, Greater Painted-Snipe, Greater Painted Snipe, Painted Snipe"
CHARADRIIFORMES,SCOLOPACIDAE,Actitis,hypoleucos,Tringa hypoleucos hypoleucos|Tringa hypoleucos hypoleucos|Tringa hypoleucos hypoleucos,Common Sandpiper
CHARADRIIFORMES,SCOLOPACIDAE,Actitis,macularius,Actitis macularia macularia|Actitis macularia macularia|Tringa macularia macularia,Spotted Sandpiper
CHARADRIIFORMES,SCOLOPACIDAE,Arenaria,interpres,,"Ruddy Turnstone, Turnstone"
CHARADRIIFORMES,SCOLOPACIDAE,Arenaria,melanocephala,,Black Turnstone
CHARADRIIFORMES,SCOLOPACIDAE,Bartramia,longicauda,,Upland Sandpiper
