species_id,breeding_distribution,bd2
Calonectris leucomelas,STr,Tr
Daption capense,P,SP
Fulmarus glacialis,P-Tm,
Fulmarus glacialoides,P,SP
Halobaena caerulea,SP-Tm,
Macronectes giganteus,P-Tm,
Macronectes halli,SP,
Pachyptila belcheri,SP,Tm
Pachyptila crassirostris,Tm,
Pachyptila desolata,P,SP
Pachyptila salvini,SP,Tm
Pachyptila turtur,SP-STr,
Pachyptila vittata,Tm,
Pagodroma nivea,P,
Pelecanoides garnotii,Tm,STr
Pelecanoides georgicus,Tm,
Pelecanoides magellani,Tm,
Pelecanoides urinatrix,Tm,
Pelecanoides urinatrix exsul,unknown,
Procellaria aequinoctialis,SP,Tm
Procellaria cinerea,SP,Tm
Procellaria conspicillata,Tm,
Procellaria parkinsoni,Tm,
Procellaria westlandica,Tm,
Pseudobulweria aterrima,STr,
Pseudobulweria becki,Tr,
Pseudobulweria macgillivrayi,STr,
Pseudobulweria rostrata,Tm,STr
Pterdroma occulta,STr,
Pterodroma alba,STr,Tr
Pterodroma arminjoniana,STr,Tr
Pterodroma atrata,STr,
Pterodroma axillaris,Tm,
Pterodroma baraui,STr, Tr
Pterodroma brevipes,Tr,
Pterodroma cahow,STr,
Pterodroma caribbaea,Tr,
Pterodroma cervicalis,Tm,
Pterodroma cookii,STr,
Pterodroma defilippiana,STr,
Pterodroma deserta,unknown,
Pterodroma externa,STr,Tr
Pterodroma feae,STr,
Pterodroma gouldi,unknown,
Pterodroma hasitata,STr,
Pterodroma heraldica,STr,Tr
Pterodroma hypoleuca,STr,
Pterodroma incerta,Tm,
Pterodroma inexpectata,SP,Tm
Pterodroma lessonii,Tm, SP
Pterodroma leucoptera,Tm-Tr,
Pterodroma longirostris,SP-STr,
Pterodroma macroptera,Tm,
Pterodroma madeira,STr,
Pterodroma magentae,Tm,STr
Pterodroma mollis,SP, Tm
Pterodroma neglecta,STr,Tr
Pterodroma nigripennis,STr,Tr
Pterodroma phaeopygia,Tr,
Pterodroma pycrofti,Tm,
Pterodroma rupinarum,unknown,
Pterodroma sandwichensis,Tr,
Pterodroma solandri,Tm,STr
Pterodroma ultima,STr,Tr
Puffinus assimilis,Tm,STr
Puffinus auricularis,Tr,
Puffinus bailloni,unknown,
Puffinus bannermani,unknown,
Puffinus bryani,?,
Puffinus elegans,unknown,
Puffinus gavia,Tm,STr
Puffinus heinrothi,Tr,
Puffinus huttoni,STr,
Puffinus lherminieri,STr,Tr
Puffinus mauretanicus,Tm,
Puffinus nativitatis,STr,Tr
Puffinus newelli,Tr,
Puffinus opisthomelas,STr,
Puffinus persicus,unknown,
Puffinus puffinus,SP,Tm
Puffinus subalaris,unknown,
Puffinus yelkouan,Tm,
Thalassoica antarctica,P,SP
Cladorhynchus leucocephalus,unknown,
Himantopus himantopus,unknown,
Himantopus novaezelandiae,unknown,
Recurvirostra americana,unknown,
Recurvirostra andina,unknown,
Recurvirostra avosetta,unknown,
Recurvirostra novaehollandiae,unknown,
Nycticryphes semicollaris,unknown,
Rostratula australis,unknown,
Rostratula benghalensis,unknown,
Actitis hypoleucos,unknown,
Actitis macularius,unknown,
Arenaria interpres,unknown,
Arenaria melanocephala,unknown,
Bartramia longicauda,unknown,
Calidris acuminata,unknown,
Calidris alba,unknown,
Calidris alpina,unknown,
Calidris bairdii,unknown,
Calidris canutus,unknown,
Calidris falcinellus,unknown,
Calidris ferruginea,unknown,
Calidris fuscicollis,unknown,
Calidris himantopus,unknown,
Calidris maritima,unknown,
Calidris mauri,unknown,
Calidris melanotos,unknown,
Calidris minuta,unknown,
Calidris minutilla,unknown,
Calidris ptilocnemis,unknown,
Calidris pugnax,unknown,
Calidris pusilla,unknown,
Calidris pygmaea,unknown,
Calidris ruficollis,unknown,
Calidris subminuta,unknown,
Calidris subruficollis,unknown,
Calidris temminckii,unknown,
Calidris tenuirostris,unknown,
Calidris virgata,unknown,
Coenocorypha aucklandica,unknown,
Coenocorypha barrierensis,unknown,
Coenocorypha huegeli,unknown,
Coenocorypha iredalei,unknown,
Coenocorypha pusilla,unknown,
Gallinago andina,unknown,
Gallinago delicata,unknown,
Gallinago gallinago,unknown,
Gallinago hardwickii,unknown,
Gallinago imperialis,unknown,
Gallinago jamesoni,unknown,
Gallinago macrodactyla,unknown,
Gallinago media,unknown,
Gallinago megala,unknown,
Gallinago nemoricola,unknown,
Gallinago nigripennis,unknown,
Gallinago nobilis,unknown,
Gallinago paraguaiae,unknown,
Gallinago solitaria,unknown,
Gallinago stenura,unknown,
Gallinago stricklandii,unknown,
Gallinago undulata,unknown,
Limnodromus griseus,unknown,
Limnodromus scolopaceus,unknown,
Limnodromus semipalmatus,unknown,
Limosa fedoa,unknown,
Limosa haemastica,unknown,
Limosa lapponica,unknown,
Limosa limosa,unknown,
Lymnocryptes minimus,unknown,
Numenius americanus,unknown,
Numenius arquata,unknown,
Numenius borealis,unknown,
Numenius madagascariensis,unknown,
Numenius minutus,unknown,
Numenius phaeopus,unknown,
Numenius tahitiensis,unknown,
Numenius tenuirostris,unknown,
Phalaropus fulicarius,unknown,
Phalaropus lobatus,unknown,
Prosobonia cancellata,unknown,
Prosobonia ellisi,unknown,
Prosobonia leucoptera,unknown,
Prosobonia parvirostris,unknown,
Scolopax bukidnonensis,unknown,
Scolopax celebensis,unknown,
Scolopax minor,unknown,
Scolopax mira,unknown,
Scolopax rochussenii,unknown,
Scolopax rosenbergii,unknown,
Scolopax rusticola,unknown,
Scolopax saturata,unknown,
Steganopus tricolor,unknown,
Tringa brevipes,unknown,
Tringa erythropus,unknown,
Tringa flavipes,unknown,
Tringa glareola,unknown,
Tringa guttifer,unknown,
Tringa incana,unknown,
Tringa melanoleuca,unknown,
Tringa nebularia,unknown,
Tringa ochropus,unknown,
Tringa semipalmata,unknown,
Tringa solitaria,unknown,
Tringa stagnatilis,unknown,
Tringa totanus,unknown,
Xenus cinereus,unknown,
Scopus umbretta,unknown,
Aptenodytes forsteri,P,
Aptenodytes patagonicus,P-Tm,
Eudyptes chrysocome,Tm,SP
Eudyptes chrysolophus,P,SP
Eudyptes moseleyi,unknown,
Eudyptes pachyrhynchus,Tm,
Eudyptes robustus,SP,Tm
Eudyptes schlegeli,SP,
Eudyptes sclateri,Tm,SP
Eudyptula minor,Tm,
Megadyptes antipodes,Tm,
Pygoscelis adeliae,P,
Pygoscelis antarcticus,P,SP
Pygoscelis papua,P,SP
Spheniscus demersus,Tm,
Spheniscus humboldti,Tm,STr
Spheniscus magellanicus,Tm,
Spheniscus mendiculus,Tr,
Catharacta antarctica,P-Tm,
Catharacta chilensis,Tm,
Catharacta maccormicki,P,
Catharacta skua,Tm,
Stercorarius longicaudus,P,SP
Stercorarius parasiticus,P-Tm,
Stercorarius pomarinus,P,SP
Morus bassanus,Tm,
Morus capensis,Tm,STr
Morus serrator,Tm,
Papasula abbotti,Tr,
Sula dactylatra,STr,Tr
Sula granti,Tr,
Sula leucogaster,Tr,
Sula nebouxii,Tr,
Sula sula,Tr,
Sula variegata,Tm-STr,
Attagis gayi,unknown,
Attagis malouinus,unknown,
Thinocorus orbignyianus,unknown,
Thinocorus rumicivorus,unknown,
Bostrychia bocagei,unknown,
Bostrychia carunculata,unknown,
Bostrychia hagedash,unknown,
Bostrychia olivacea,unknown,
Bostrychia rara,unknown,
Cercibis oxycerca,unknown,
Eudocimus albus,unknown,
Eudocimus ruber,unknown,
Geronticus calvus,unknown,
Geronticus eremita,unknown,
Lophotibis cristata,unknown,
Mesembrinibis cayennensis,unknown,
Nipponia nippon,unknown,
Phimosus infuscatus,unknown,
Platalea ajaja,unknown,
Platalea alba,unknown,
Platalea flavipes,unknown,
Platalea leucorodia,unknown,
Platalea minor,unknown,
Platalea regia,unknown,
Plegadis chihi,unknown,
Plegadis falcinellus,unknown,
Plegadis ridgwayi,unknown,
Pseudibis davisoni,unknown,
Pseudibis papillosa,unknown,
Thaumatibis gigantea,unknown,
Theristicus branickii,unknown,
Theristicus caerulescens,unknown,
Theristicus caudatus,unknown,
Theristicus melanopis,unknown,
Threskiornis aethiopicus,unknown,
Threskiornis bernieri,unknown,
Threskiornis melanocephalus,unknown,
Threskiornis moluccus,unknown,
Threskiornis solitarius,unknown,
Threskiornis spinicollis,unknown,
Ortyxelos meiffrenii,unknown,
Turnix castanotus,unknown,
Turnix everetti,unknown,
Turnix hottentottus,unknown,
Turnix maculosus,unknown,
Turnix melanogaster,unknown,
Turnix nanus,unknown,
Turnix nigricollis,unknown,
Turnix novaecaledoniae,unknown,
Turnix ocellatus,unknown,
Turnix olivii,unknown,
Turnix pyrrhothorax,unknown,
Turnix suscitator,unknown,
Turnix sylvaticus,unknown,
Turnix tanki,unknown,
Turnix varius,unknown,
Turnix velox,unknown,
Turnix worcesteri,unknown,
