species_id,nest_locations,nl,
Thalasseus sandvicensis eurygnatha,O,,
Xema sabini,O,,
Fregetta grallaria,Cr,Bu,
Fregetta maoriana,unknown,,
Fregetta tropica,Cr,,
Garrodia nereis,Un,,
Nesofregetta fuliginosa,Un,Cr,
Oceanites gracilis,unknown,,
Oceanites gracilis galapagoensis,unknown,,
Oceanites oceanicus,Bu,Cr,
Oceanites oceanicus chilensis,unknown,,
Oceanites oceanicus exasperatus,unknown,,
Oceanites oceanicus oceanicus,unknown,,
Oceanites pincoyae,unknown,,
Pelagodroma marina,Bu,,
Pedionomus torquatus,unknown,,
Pelecanus conspicillatus,O,,
Pelecanus crispus,O,,
Pelecanus erythrorhynchos,O,,
Pelecanus occidentalis,O,T,
Pelecanus onocrotalus,O,,
Pelecanus philippensis,T,,
Pelecanus rufescens,O,T,
Pelecanus thagus,unknown,,
Phaethon aethereus,Un,Cr,
Phaethon lepturus,Un,Cr,
Phaethon rubricauda,Un,Cr,
Microcarbo africanus,O,T,
Microcarbo coronatus,O,T,
Microcarbo melanoleucos,T,O,
Microcarbo niger,T,,
Microcarbo pygmaeus,T,,
Phalacrocorax bransfieldensis,O,Sl,Cl
Phalacrocorax georgianus,O,Sl,Cl
Phalacrocorax aristotelis,Cl,O,
Phalacrocorax atriceps,O,Cl,
Phalacrocorax auritus,O,Cl,T
Phalacrocorax bougainvilliorum,Sl,O,
Phalacrocorax brasilianus,T,O,
Phalacrocorax campbelli,O,Cl,Cr
Phalacrocorax capensis,Cl,O,T
Phalacrocorax capillatus,Cl,,
Phalacrocorax carbo,O,T,Cl
Phalacrocorax carunculatus,O,Sl,
Phalacrocorax chalconotus,O,Sl,
Phalacrocorax colensoi,O,Cl,
Phalacrocorax featherstoni,Cl,,
Phalacrocorax fuscescens,O,Cl,
Phalacrocorax fuscicollis,T,,
Phalacrocorax gaimardi,Cl,,
Phalacrocorax harrisi,O,,
Phalacrocorax magellanicus,Cl,,
Phalacrocorax neglectus,O,Cl,
Phalacrocorax nigrogularis,unknown,,
Phalacrocorax onslowi,O,Sl,Cl
Phalacrocorax pelagicus,O,Cr,
Phalacrocorax penicillatus,O,,
Phalacrocorax perspicillatus,unknown,,
Phalacrocorax punctatus,Cl,Sl,
Phalacrocorax ranfurlyi,Cl,,
Phalacrocorax sulcirostris,T,,
Phalacrocorax urile,Cl,Sl,
Phalacrocorax varius,O,,
Phalacrocorax verrucosus,Cl,,
Pluvianellus socialis,unknown,,
Pluvianus aegyptius,unknown,,
Aphrodroma brevirostris,Bu,,
Ardenna bulleri,Bu,,
Ardenna carneipes,Bu, Sl,
Ardenna creatopus,Bu,,
Ardenna gravis,Bu,Cr,
Ardenna grisea,Bu,,
Ardenna pacifica,Bu,,
Ardenna tenuirostris,Bu,,
Bulweria bifax,unknown,,
Bulweria bulwerii,Cr,,
Bulweria fallax,unknown,,
Calonectris borealis,Bu,Cr,
Calonectris diomedea,Bu,Cr,
Calonectris edwardsii,Bu,Cr,
Calonectris leucomelas,unknown,,
Daption capense,Cl,O,
Fulmarus glacialis,O,Cl,
Fulmarus glacialoides,Sl,Cl,
Halobaena caerulea,Bu,Sl,
Macronectes giganteus,O,,
Macronectes halli,O,Sl,
Pachyptila belcheri,Bu,,
Pachyptila crassirostris,Bu,Cr,
Pachyptila desolata,Bu,Cr,
Pachyptila salvini,Bu,Cr,
Pachyptila turtur,Bu,Cr,
Pachyptila vittata,Bu,,
Pagodroma nivea,Cl,Cr,
Pelecanoides garnotii,Bu,,
Pelecanoides georgicus,Bu,,
Pelecanoides magellani,Bu,,
Pelecanoides urinatrix,Bu,Sl,
Pelecanoides urinatrix exsul,unknown,,
Procellaria aequinoctialis,Bu,,
Procellaria cinerea,Bu,,
Procellaria conspicillata,Bu,,
Procellaria parkinsoni,Bu,,
Procellaria westlandica,Bu,,
Pseudobulweria aterrima,Bu,Cr,
Pseudobulweria becki,unknown,,
Pseudobulweria macgillivrayi,unknown,,
Pseudobulweria rostrata,Bu,,
Pterdroma occulta,unknown,,
Pterodroma alba,Un,Cr,
Pterodroma arminjoniana,Bu,Sl,
Pterodroma atrata,unknown,,
Pterodroma axillaris,Sl,,
Pterodroma baraui,Bu,,
Pterodroma brevipes,Sl,Cr,U
Pterodroma cahow,Bu,Cr,
Pterodroma caribbaea,Bu,Cr,
Pterodroma cervicalis,Bu,,
Pterodroma cookii,Bu,,
Pterodroma defilippiana,unknown,,
Pterodroma deserta,unknown,,
Pterodroma externa,Bu,,
Pterodroma feae,Bu,,
Pterodroma gouldi,unknown,,
Pterodroma hasitata,unknown,,
Pterodroma heraldica,Bu,Sl,
Pterodroma hypoleuca,Bu,,
Pterodroma incerta,unknown,,
Pterodroma inexpectata,Bu,Sl,
Pterodroma lessonii,Bu,,
Pterodroma leucoptera,Cr,,
Pterodroma longirostris,unknown,,
Pterodroma macroptera,Bu,Cr,Un
Pterodroma madeira,unknown,,
Pterodroma magentae,Bu,Un,
Pterodroma mollis,Bu,,
Pterodroma neglecta,O,,
Pterodroma nigripennis,Bu,,
Pterodroma phaeopygia,Bu,Cr,
Pterodroma pycrofti,Bu,,
Pterodroma rupinarum,unknown,,
Pterodroma sandwichensis,Bu,Cr,
Pterodroma solandri,Bu,,
Pterodroma ultima,unknown,,
Puffinus assimilis,Bu,Sl,
Puffinus auricularis,Bu,Cr,
Puffinus bailloni,unknown,,
Puffinus bannermani,unknown,,
Puffinus bryani,unknown,,
Puffinus elegans,unknown,,
Puffinus gavia,Bu,,
Puffinus heinrothi,unknown,,
Puffinus huttoni,Sl, Bu,
Puffinus lherminieri,unknown,,
Puffinus mauretanicus,Cr,Un,
Puffinus nativitatis,Cr,Un,
Puffinus newelli,Bu,Cr,
Puffinus opisthomelas,Bu,,
Puffinus persicus,unknown,,
Puffinus puffinus,Bu,,
Puffinus subalaris,unknown,,
Puffinus yelkouan,Cr,Un,
Thalassoica antarctica,Cr,Sl,
Cladorhynchus leucocephalus,unknown,,
Himantopus himantopus,unknown,,
Himantopus novaezelandiae,unknown,,
Recurvirostra americana,unknown,,
Recurvirostra andina,unknown,,
Recurvirostra avosetta,unknown,,
Recurvirostra novaehollandiae,unknown,,
Nycticryphes semicollaris,unknown,,
Rostratula australis,unknown,,
Rostratula benghalensis,unknown,,
Actitis hypoleucos,unknown,,
Actitis macularius,unknown,,
Arenaria interpres,unknown,,
Arenaria melanocephala,unknown,,
Bartramia longicauda,unknown,,
Calidris acuminata,unknown,,
Calidris alba,unknown,,
Calidris alpina,unknown,,
Calidris bairdii,unknown,,
Calidris canutus,unknown,,
Calidris falcinellus,unknown,,
Calidris ferruginea,unknown,,
Calidris fuscicollis,unknown,,
Calidris himantopus,unknown,,
Calidris maritima,unknown,,
Calidris mauri,unknown,,
Calidris melanotos,unknown,,
Calidris minuta,unknown,,
Calidris minutilla,unknown,,
Calidris ptilocnemis,unknown,,
Calidris pugnax,unknown,,
Calidris pusilla,unknown,,
Calidris pygmaea,unknown,,
Calidris ruficollis,unknown,,
Calidris subminuta,unknown,,
Calidris subruficollis,unknown,,
Calidris temminckii,unknown,,
Calidris tenuirostris,unknown,,
Calidris virgata,unknown,,
Coenocorypha aucklandica,unknown,,
Coenocorypha barrierensis,unknown,,
Coenocorypha huegeli,unknown,,
Coenocorypha iredalei,unknown,,
Coenocorypha pusilla,unknown,,
Gallinago andina,unknown,,
Gallinago delicata,unknown,,
Gallinago gallinago,unknown,,
Gallinago hardwickii,unknown,,
Gallinago imperialis,unknown,,
Gallinago jamesoni,unknown,,
Gallinago macrodactyla,unknown,,
Gallinago media,unknown,,
Gallinago megala,unknown,,
Gallinago nemoricola,unknown,,
Gallinago nigripennis,unknown,,
Gallinago nobilis,unknown,,
Gallinago paraguaiae,unknown,,
Gallinago solitaria,unknown,,
Gallinago stenura,unknown,,
Gallinago stricklandii,unknown,,
Gallinago undulata,unknown,,
Limnodromus griseus,unknown,,
Limnodromus scolopaceus,unknown,,
Limnodromus semipalmatus,unknown,,
Limosa fedoa,unknown,,
Limosa haemastica,unknown,,
Limosa lapponica,unknown,,
Limosa limosa,unknown,,
Lymnocryptes minimus,unknown,,
Numenius americanus,unknown,,
Numenius arquata,unknown,,
Numenius borealis,unknown,,
Numenius madagascariensis,unknown,,
Numenius minutus,unknown,,
Numenius phaeopus,unknown,,
Numenius tahitiensis,unknown,,
Numenius tenuirostris,unknown,,
Phalaropus fulicarius,unknown,,
Phalaropus lobatus,unknown,,
Prosobonia cancellata,unknown,,
Prosobonia ellisi,unknown,,
Prosobonia leucoptera,unknown,,
Prosobonia parvirostris,unknown,,
Scolopax bukidnonensis,unknown,,
Scolopax celebensis,unknown,,
Scolopax minor,unknown,,
Scolopax mira,unknown,,
Scolopax rochussenii,unknown,,
Scolopax rosenbergii,unknown,,
Scolopax rusticola,unknown,,
Scolopax saturata,unknown,,
Steganopus tricolor,unknown,,
Tringa brevipes,unknown,,
Tringa erythropus,unknown,,
Tringa flavipes,unknown,,
Tringa glareola,unknown,,
Tringa guttifer,unknown,,
Tringa incana,unknown,,
Tringa melanoleuca,unknown,,
Tringa nebularia,unknown,,
Tringa ochropus,unknown,,
Tringa semipalmata,unknown,,
Tringa solitaria,unknown,,
Tringa stagnatilis,unknown,,
Tringa totanus,unknown,,
Xenus cinereus,unknown,,
Scopus umbretta,unknown,,
Aptenodytes forsteri,None,,
Aptenodytes patagonicus,None,,
Eudyptes chrysocome,O,Cr,
Eudyptes chrysolophus,Sl,O,
Eudyptes moseleyi,unknown,,
Eudyptes pachyrhynchus,O,Cr,
Eudyptes robustus,O,Cl,
Eudyptes schlegeli,O,Sl,
Eudyptes sclateri,unknown,,
Eudyptula minor,Bu,,
Megadyptes antipodes,O,,
Pygoscelis adeliae,O,,
Pygoscelis antarcticus,O,Sl,
Pygoscelis papua,O,,
Spheniscus demersus,Bu,,
Spheniscus humboldti,Cr,,
Spheniscus magellanicus,Bu,,
Spheniscus mendiculus,Bu,,
Catharacta antarctica,O,,
Catharacta chilensis,O,,
Catharacta maccormicki,O,,
Catharacta skua,O,,
Stercorarius longicaudus,O,,
Stercorarius parasiticus,O,,
Stercorarius pomarinus,O,,
Morus bassanus,CI,O,
Morus capensis,O,,
Morus serrator,O,CI,
Papasula abbotti,T,,
Sula dactylatra,CI,O,
Sula granti,O,,
Sula leucogaster,O,CI,
Sula nebouxii,CI,O,
Sula sula,T,,
Sula variegata,CI,O,
Attagis gayi,unknown,,
Attagis malouinus,unknown,,
Thinocorus orbignyianus,unknown,,
Thinocorus rumicivorus,unknown,,
Bostrychia bocagei,unknown,,
Bostrychia carunculata,unknown,,
Bostrychia hagedash,unknown,,
Bostrychia olivacea,unknown,,
Bostrychia rara,unknown,,
Cercibis oxycerca,unknown,,
Eudocimus albus,unknown,,
Eudocimus ruber,unknown,,
Geronticus calvus,unknown,,
Geronticus eremita,unknown,,
Lophotibis cristata,unknown,,
Mesembrinibis cayennensis,unknown,,
Nipponia nippon,unknown,,
Phimosus infuscatus,unknown,,
Platalea ajaja,unknown,,
Platalea alba,unknown,,
Platalea flavipes,unknown,,
Platalea leucorodia,unknown,,
Platalea minor,unknown,,
Platalea regia,unknown,,
Plegadis chihi,unknown,,
Plegadis falcinellus,unknown,,
Plegadis ridgwayi,unknown,,
Pseudibis davisoni,unknown,,
Pseudibis papillosa,unknown,,
Thaumatibis gigantea,unknown,,
Theristicus branickii,unknown,,
Theristicus caerulescens,unknown,,
Theristicus caudatus,unknown,,
Theristicus melanopis,unknown,,
Threskiornis aethiopicus,unknown,,
Threskiornis bernieri,unknown,,
Threskiornis melanocephalus,unknown,,
Threskiornis moluccus,unknown,,
Threskiornis solitarius,unknown,,
Threskiornis spinicollis,unknown,,
Ortyxelos meiffrenii,unknown,,
Turnix castanotus,unknown,,
Turnix everetti,unknown,,
Turnix hottentottus,unknown,,
Turnix maculosus,unknown,,
Turnix melanogaster,unknown,,
Turnix nanus,unknown,,
Turnix nigricollis,unknown,,
Turnix novaecaledoniae,unknown,,
Turnix ocellatus,unknown,,
Turnix olivii,unknown,,
Turnix pyrrhothorax,unknown,,
Turnix suscitator,unknown,,
Turnix sylvaticus,unknown,,
Turnix tanki,unknown,,
Turnix varius,unknown,,
Turnix velox,unknown,,
Turnix worcesteri,unknown,,
