fid,ord,fam,genus,species,genus_species,species_id,synonyms,common_name_1,common_name_2,common_name_3,common_name_4,common_name_5,common_name_6,iucn_status,red_list_criteria,year_assessed,population_trend,breeding_dist,nest_locations,hatchling_type
70,PELECANIFORMES,ARDEIDAE,Egretta,vinaceigula,Egretta vinaceigula,Egrettavinaceigula,,Slaty Egret,,,,,,VU,C2a(ii),2013,decreasing,,,
71,PELECANIFORMES,ARDEIDAE,Gorsachius,goisagi,Gorsachius goisagi,Gorsachiusgoisagi,,Japanese Night-heron, Japanese Night Heron, Japanese Night-Heron,,,,EN,C2a(i),2012,decreasing,,,
72,PELECANIFORMES,ARDEIDAE,Gorsachius,magnificus,Gorsachius magnificus,Gorsachiusmagnificus,,White-eared Night-heron, White-eared Night Heron, White-eared Night-Heron,,,,EN,C2a(i),2013,decreasing,,,
73,PELECANIFORMES,ARDEIDAE,Gorsachius,melanolophus,Gorsachius melanolophus,Gorsachiusmelanolophus,Gorsachius melanophus melanophus,Malay Night-heron, Malayan Night-Heron, Malayan Night Heron,,,,LC,,2012,unknown,,,
74,PELECANIFORMES,ARDEIDAE,Ixobrychus,cinnamomeus,Ixobrychus cinnamomeus,Ixobrychuscinnamomeus,,Cinnamon Bittern,,,,,,LC,,2012,stable,,,
75,PELECANIFORMES,ARDEIDAE,Ixobrychus,dubius,Ixobrychus dubius,Ixobrychusdubius,,Australian Little Bittern,,,,,,LC,,2014,decreasing,,,
76,PELECANIFORMES,ARDEIDAE,Ixobrychus,eurhythmus,Ixobrychus eurhythmus,Ixobrychuseurhythmus,,Schrenck's Bittern, Schrenk's Bittern, Schrenck's Little Bittern, Von Schrenck's Bittern,,,LC,,2012,decreasing,,,
77,PELECANIFORMES,ARDEIDAE,Ixobrychus,exilis,Ixobrychus exilis,Ixobrychusexilis,,Least Bittern,,,,,,LC,,2012,stable,,,
78,PELECANIFORMES,ARDEIDAE,Ixobrychus,flavicollis,Ixobrychus flavicollis,Ixobrychusflavicollis,Dupetor flavicollis flavicollis,Black Bittern,,,,,,LC,,2012,decreasing,,,
79,PELECANIFORMES,ARDEIDAE,Ixobrychus,involucris,Ixobrychus involucris,Ixobrychusinvolucris,,Stripe-backed Bittern,,,,,,LC,,2012,stable,,,
80,PELECANIFORMES,ARDEIDAE,Ixobrychus,minutus,Ixobrychus minutus,Ixobrychusminutus,,Common Little Bittern, Little Bittern,,,,,LC,,2014,decreasing,,,
81,PELECANIFORMES,ARDEIDAE,Ixobrychus,novaezelandiae,Ixobrychus novaezelandiae,Ixobrychusnovaezelandiae,,New Zealand Little Bittern, New Zealand Little Bittern, New Zealand Bittern,,,,EX,,2014,,,,
82,PELECANIFORMES,ARDEIDAE,Ixobrychus,sinensis,Ixobrychus sinensis,Ixobrychussinensis,,Yellow Bittern,,,,,,LC,,2012,unknown,,,
83,PELECANIFORMES,ARDEIDAE,Ixobrychus,sturmii,Ixobrychus sturmii,Ixobrychussturmii,Ardeirallus sturmii sturmii,Dwarf Bittern,,,,,,LC,,2012,unknown,,,
84,PELECANIFORMES,ARDEIDAE,Nyctanassa,carcinocatactes,Nyctanassa carcinocatactes,Nyctanassacarcinocatactes,,Bermuda Night-heron,,,,,,EX,,2014,,,,
85,PELECANIFORMES,ARDEIDAE,Nyctanassa,violacea,Nyctanassa violacea,Nyctanassaviolacea,Nycticorax violaceus violaceus,Yellow-crowned Night-heron, Yellow-crowned Night Heron, Yellow-crowned Night-Heron,,,,LC,,2012,stable,,,
86,PELECANIFORMES,ARDEIDAE,Nycticorax,caledonicus,Nycticorax caledonicus,Nycticoraxcaledonicus,,Rufous Night-heron, Nankeen Night Heron, Nankeen Night-Heron, Rufous Night Heron, Rufous Night-Heron,,LC,,2012,stable,,,
87,PELECANIFORMES,ARDEIDAE,Nycticorax,duboisi,Nycticorax duboisi,Nycticoraxduboisi,,Reunion Night-heron, Reunion Night-Heron,,,,,EX,,2012,,,,
88,PELECANIFORMES,ARDEIDAE,Nycticorax,mauritianus,Nycticorax mauritianus,Nycticoraxmauritianus,,Mauritius Night-heron, Mauritius Night-Heron,,,,,EX,,2012,,,,
