feature_id,species_id,female_mass_mean,female_mass_lower,female_mass_upper,female_mass_uncertainty,male_mass_mean,male_mass_lower,male_mass_upper,male_mass_uncertainty,culmen,tarsus,tail,bmr,rmr,dee,clutch_size_mean,clutch_size_lower,clutch_size_upper,clutch_size_uncertainty,egg_mass,incubation_mean,incubation_period_lower,incubation_period_upper,incubation_period_uncertainty,fledging_period_mean,fledging_period_lower,fledging_period_upper,fledging_period_uncertainty,reproductive_success,hatching_success,fledging_success,max_growth_mean,max_growth_lower,max_growth_upper,max_growth_uncertainty,feeds_per_day,post_fledge_care_mean,post_fledge_care_lower,post_fledge_care_upper,post_fledge_care_uncertainty,fledgling_mass,ratio_fledgling_to_adult,wing_loading,aspect_ratio,first_year_survival,second_year_survival,survival_to_breeding,age_first_breed_mean,age_first_breed_lower,age_first_breed_upper,age_first_breed_uncertainty,foraging_distance,migration_distance,wingspan_mean,wingspan_lower,wingspan_upper,wingspan_uncertainty,max_age_mean,max_age_lower,max_age_upper,max_age_uncertainty,annual_survival_mean,annual_survival_lower,annual_survival_upper,annual_survival_uncertainty,mate_fidelity,site_fidelity,coloniality,username,dt
433,Ardennagravis,,0.72,0.95,,,0.72,0.95,,,,,,,,1,,,,,,53,57,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,118,,,,,,,,,,,,,grant,27/06/2016
434,Ardennagrisea,,0.63,0.95,,,0.63,0.95,,,,,,,,1,,,,93,52.7,,,,97,,,,63,76,83,17,,,,,0,,,,0.75,,,,,,,,5,7,,OS,,103,,,,,,,,,93,94,,,,,grant,27/06/2016
435,Ardennapacifica,,0.3,0.57,,,0.3,0.57,,,,,,,,1,,,,,,48,56,,,98,115,,43,,43,10,,,,,0,,,,,,,,,,,,,,,OS,,,97,105,,26,,,,,,,,,,,grant,27/06/2016
436,Ardennatenuirostris,,0.47,0.64,,,0.51,0.73,,,,,,,,1,,,,85,,52,55,,94,,,,48,,48,13,,,,,0,,,,,,,,,,,6,5,7,,OS,,93,,,,,,,,,90,94,,,,,grant,27/06/2016
437,Bulweriabifax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
438,Bulweriabulwerii,0.99,,,,0.99,,,,,,,,,,1,,,,,44.2,38,46,,62,57,67,,,,,,,,,,0,,,,,,,,,,,,4,6,,OS,,,65,73,,,,,,94.7,,,,,,,grant,27/06/2016
439,Bulweriafallax,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,83,,,,,,,,,,,,,grant,27/06/2016
440,Calonectrisborealis,,0.81,0.82,,,0.88,0.96,,,,,,,,1,,,,,54,,,,97,,,,,51,87,14,,,,,0,,,,0.874,,51-56,7.26,,,,9,,,,OS,,,75,76,,,,,,95.6,,,,,,,grant,27/06/2016
441,Calonectrisdiomedea,0.6,,,,0.71,,,,,,,,,,1,,,,,51,,,,91,,,,,,,,,,,,,,,,,,,,,,,7.7,,,,,,,,,,,,,,93,,,,,,,grant,27/06/2016
442,Calonectrisedwardsii,,,,,,,,,,,,,,,1,,,,,,,,,90,,,ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
443,Calonectrisleucomelas,,0.44,0.55,,,0.44,0.55,,,,,,,,1,,,,,64,,,,,66,80,,,,,,,,,,,,,,,,,,,,,,,,,,,122,,,,,,,,,,,,,,,grant,27/06/2016
444,Daptioncapense,,0.36,0.51,,,0.38,0.55,,,,,,,,1,,,,63,,44,47,,,47,68,,,,,16,,,,,0,,,,0.48,,,,,,,6,4,6,,OS,,87,,,,25,,,,94,,,,,,,grant,27/06/2016
445,Fulmarusglacialis,0.58,,,,0.65,,,,,,,330,,,1,,,,101,48.4,,,,53,46,58,,,,,31,,,,,0,,,,0.907,,,,,,,5,5,12,,OS,,,102,112,,31,,,c,,94,97,,,,,grant,27/06/2016
446,Fulmarusglacialoides,,0.7,1,,,0.7,1,,,,,,,,1,,,,103,,43,50,,,48,56,,,,,32,,,,,,,,,1.2,,,,,,,,9,11,,OS,,106,,,,,,,,,90,95,,,,,grant,27/06/2016
447,Halobaenacaerulea,,0.13,0.23,,,0.13,0.23,,,,,,,,1,,,,36,,45,49,,,48,60,,,,,7.2,,,,,,,,,0.29,,,,,,,,,,,NS,,,62,71,,,,,,,,,,,,,grant,27/06/2016
448,Macronectesgiganteus,3.94,,,,5.19,,,,,,,,,,1,,,,268,,59,66,,,112,123,,,,,79,,,,,0,,,,6,,,,,,,,4,10,,OS,,,150,210,,,,,,,90,96,,,,,grant,27/06/2016
449,Macronecteshalli,3.8,,,,5,,,,,,,,,,1,,,,268,,57,62,,,106,120,,,,,66,,,,,,,,,5.86,,,,,,,,4,11,,NS,,199,,,,,,,,90,,,,,,,grant,27/06/2016
450,Pachyptilabelcheri,,0.12,0.18,,,0.12,0.18,,,,,,,,1,,,,31,,43,47,,,43,69,,,,,6.5,,,,,,,,,0.235,,,,,,,6.7,,,,NS+,,,56,59,,,,,,,,,,,,,grant,27/06/2016
451,Pachyptilacrassirostris,,0.1,0.19,,,0.1,0.19,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NS,,60,,,,,,,,,,,,,,,grant,27/06/2016
452,Pachyptiladesolata,,0.1,0.19,,,0.1,0.19,,,,,,,,1,,,,33,,44,46,,51,,,,,,,6.9,,,,,,,,,0.215,,,,,,,5,3,6,,OS,,63,,,,,,,,,,,,,,,grant,27/06/2016
453,Pachyptilasalvini,,0.12,0.21,,,0.12,0.21,,,,,,,,1,,,,32,,44,55,,,52,63,,,,,6.9,,,,,,,,,0.19,,,,,,,,,,,,,59,,,,,,,,,,,,,,,grant,27/06/2016
454,Pachyptilaturtur,,0.11,0.16,,,0.12,0.18,,,,,,,,1,,,,24,,44,54,,50,,,,,,,6.6,,,,,,,,,0.15,,,,,,,,4,5,,NS,,56,,,,,,,,84,,,,,,,grant,27/06/2016
455,Pachyptilavittata,,0.17,0.24,,,0.17,0.24,,,,,,,,1,,,,33,56,,,,,50,53,,,,,,,,,,,,,,,,,,,,,,,,,OS,,61,,,,,,,,,,,,,,,grant,27/06/2016
456,Pagodromanivea,,0.24,0.46,,,0.24,0.46,,,,,,,,1,,,,56,,41,49,,,41,55,,,,,17,,,,,0,,,,0.5,,,,,,,,3,7,,"NS,OS",,83,,,,,,,,,93,96,,,,,grant,27/06/2016
