fid,ord,fam,genus,species,subspecies,genus_species,species_id,synonyms,common_name_1,common_name_2,common_name_3,common_name_4,common_name_5,common_name_6,iucn_status,red_list_criteria,year_assessed,population_trend,total_population,breeding_dist,nest_locations,hatchling_type,feature_id,species_id,female_mass_mean,female_mass_lower,female_mass_upper,female_mass_uncertainty,male_mass_mean,male_mass_lower,male_mass_upper,male_mass_uncertainty,culmen,tarsus,tail,bmr,rmr,dee,clutch_size_mean,clutch_size_lower,clutch_size_upper,clutch_size_uncertainty,egg_mass,incubation_mean,incubation_period_lower,incubation_period_upper,incubation_period_uncertainty,fledging_period_mean,fledging_period_lower,fledging_period_upper,fledging_period_uncertainty,reproductive_success,hatching_success,fledging_success,max_growth_mean,max_growth_lower,max_growth_upper,max_growth_uncertainty,feeds_per_day,post_fledge_care_mean,post_fledge_care_lower,post_fledge_care_upper,post_fledge_care_uncertainty,fledgling_mass,ratio_fledgling_to_adult,wing_loading,aspect_ratio,first_year_survival,second_year_survival,survival_to_breeding,age_first_breed_mean,age_first_breed_lower,age_first_breed_upper,age_first_breed_uncertainty,foraging_distance,migration_distance,wingspan_mean,wingspan_lower,wingspan_upper,wingspan_uncertainty,max_age_mean,max_age_lower,max_age_upper,max_age_uncertainty,annual_survival_mean,annual_survival_lower,annual_survival_upper,annual_survival_uncertainty,mate_fidelity,site_fidelity,coloniality,username,dt
725,CHARADRIIFORMES,TURNICIDAE,Turnix,worcesteri,,Turnix worcesteri,Turnixworcesteri,,Luzon Buttonquail, Worcester's Buttonquail,,,,,DD,,2012,unknown,,,,,725,Turnixworcesteri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
8,CHARADRIIFORMES,ALCIDAE,Brachyramphus,marmoratus,,Brachyramphus marmoratus,Brachyramphusmarmoratus,,Marbled Murrelet,,,,,,EN,A2bc+3bc+4bc,2012,decreasing,,Tm,T,SP,8,Brachyramphusmarmoratus,0.22,,,,0.22,,,,,,,,,,1,,,,36,29,,,,33.5,27,40,,,,,,,,,,,,,,155,70,,,30 - 60,,,3,,,,"NS,OS",,44,,,,,,,,,,,,,,,grant,27/06/2016
21,CHARADRIIFORMES,ALCIDAE,Synthliboramphus,hypoleucus,,Synthliboramphus hypoleucus,Synthliboramphushypoleucus,,Guadalupe Murrelet,,,,,,EN,"B2ab(iv,v)",2014,decreasing,,STr,Cr,P,21,Synthliboramphushypoleucus,0.17,,,,0.17,,,,,,,,,,2,1,2,,,34,27,44,,2,1,4,,,,,,,,,,,,,yes,,,,,,,,3,2,3,,OS,,42,,,,15,,,,,,,,,,,grant,27/06/2016
37,PELECANIFORMES,ARDEIDAE,Ardea,humbloti,,Ardea humbloti,Ardeahumbloti,,Madagascar Heron, Humblot's Heron,,,,,EN,C2a(ii),2012,decreasing,,,,,37,Ardeahumbloti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
47,PELECANIFORMES,ARDEIDAE,Ardeola,idae,,Ardeola idae,Ardeolaidae,,Madagascar Pond-heron, Madagascar Squacco Heron, Madagascar Pond-Heron, Malagasy Pond Heron,,,EN,C2a(ii),2012,decreasing,,,,,47,Ardeolaidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
53,PELECANIFORMES,ARDEIDAE,Botaurus,poiciloptilus,,Botaurus poiciloptilus,Botauruspoiciloptilus,,Australasian Bittern,,,,,,EN,C1,2014,decreasing,,,,,53,Botauruspoiciloptilus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
71,PELECANIFORMES,ARDEIDAE,Gorsachius,goisagi,,Gorsachius goisagi,Gorsachiusgoisagi,,Japanese Night-heron, Japanese Night Heron, Japanese Night-Heron,,,,EN,C2a(i),2012,decreasing,,,,,71,Gorsachiusgoisagi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
72,PELECANIFORMES,ARDEIDAE,Gorsachius,magnificus,,Gorsachius magnificus,Gorsachiusmagnificus,,White-eared Night-heron, White-eared Night Heron, White-eared Night-Heron,,,,EN,C2a(i),2013,decreasing,,,,,72,Gorsachiusmagnificus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
131,CHARADRIIFORMES,CHARADRIIDAE,Charadrius,obscurus,,Charadrius obscurus,Charadriusobscurus,,Southern Red-breasted Plover,,,,,,EN,D,2014,stable,,,,,131,Charadriusobscurus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
156,CHARADRIIFORMES,CHARADRIIDAE,Thinornis,novaeseelandiae,,Thinornis novaeseelandiae,Thinornisnovaeseelandiae,,Shore Plover, Shore Dotterel,,,,,EN,D,2012,increasing,,,,,156,Thinornisnovaeseelandiae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grant,27/06/2016
