sst_id,feature_id,species_id,cite_id
368,242,Hydrobatesleucorhous,citation141
369,242,Hydrobatesleucorhous,citation16
370,243,Hydrobatesmacrodactylus,citation194
371,244,Hydrobatesmarkhami,citation298
372,244,Hydrobatesmarkhami,citation48
373,245,Hydrobatesmatsudairae,citation165
374,245,Hydrobatesmatsudairae,citation48
375,246,Hydrobatesmelania,citation298
376,246,Hydrobatesmelania,citation48
377,247,Hydrobatesmicrosoma,citation48
378,247,Hydrobatesmicrosoma,citation113
379,248,Hydrobatesmonorhis,citation48
380,249,Hydrobatesmonteiroi,citation27
381,250,Hydrobatespelagicus,citation62
382,250,Hydrobatespelagicus,citation298
383,250,Hydrobatespelagicus,citation299
384,251,Hydrobatestethys,citation48
385,252,Hydrobatestristrami,citation298
386,252,Hydrobatestristrami,citation48
387,253,Ibidorhynchastruthersii,citation194
388,254,Actophilornisafricanus,citation194
389,255,Actophilornisalbinucha,citation194
390,256,Hydrophasianuschirurgus,citation194
391,257,Irediparragallinacea,citation194
392,258,Jacanajacana,citation194
393,259,Jacanaspinosa,citation194
394,260,Metopidiusindicus,citation194
395,261,Microparracapensis,citation194
396,262,Anousminutus,citation280
397,262,Anousminutus,citation103
398,263,Anousstolidus,citation34
399,263,Anousstolidus,citation16
400,264,Anoustenuirostris,citation104
401,264,Anoustenuirostris,citation228
402,265,Chlidoniasalbostriatus,citation104
403,266,Chlidoniashybrida,citation104
404,266,Chlidoniashybrida,citation12
405,267,Chlidoniasleucopterus,citation104
406,268,Chlidoniasniger,citation82
407,268,Chlidoniasniger,citation104
408,268,Chlidoniasniger,citation16
409,268,Chlidoniasniger,citation263
410,269,Creagrusfurcatus,citation122
411,269,Creagrusfurcatus,citation42
412,269,Creagrusfurcatus,citation272
413,270,Gelochelidonmacrotarsa,citation194
414,271,Gelochelidonnilotica,citation21
415,271,Gelochelidonnilotica,citation257
416,271,Gelochelidonnilotica,citation204
417,271,Gelochelidonnilotica,citation16
418,272,Gygisalba,citation185
419,272,Gygisalba,citation253
420,272,Gygisalba,citation16
421,273,Gygismicrorhyncha,citation104
422,273,Gygismicrorhyncha,citation135
423,274,Hydrocoloeusminutus,citation287
424,274,Hydrocoloeusminutus,citation89
425,275,Hydroprognecaspia,citation225
426,275,Hydroprognecaspia,citation104
427,275,Hydroprognecaspia,citation67
428,275,Hydroprognecaspia,citation16
429,275,Hydroprognecaspia,citation14
430,276,Larosternainca,citation104
431,277,Larusargentatus,citation153
432,277,Larusargentatus,citation212
433,277,Larusargentatus,citation213
434,277,Larusargentatus,citation81
435,277,Larusargentatus,citation215
436,277,Larusargentatus,citation42
437,277,Larusargentatus,citation16
438,277,Larusargentatus,citation35
439,277,Larusargentatus,citation216
440,277,Larusargentatus,citation51
441,277,Larusargentatus,citation217
442,277,Larusargentatus,citation30
443,278,Larusarmenicus,citation42
444,279,Larusatlanticus,citation42
445,280,Larusatricilla,citation254
446,280,Larusatricilla,citation251
447,280,Larusatricilla,citation40
448,281,Larusaudouinii,citation42
449,282,Larusbelcheri,citation42
450,283,Larusbrunnicephalus,citation42
451,284,Larusbulleri,citation42
452,285,Laruscachinnans,citation194
453,286,Laruscalifornicus,citation310
454,286,Laruscalifornicus,citation311
455,286,Laruscalifornicus,citation42
456,286,Laruscalifornicus,citation16
457,287,Laruscanus,citation42
458,288,Laruscirrocephalus,citation42
459,289,Laruscrassirostris,citation42
460,290,Larusdelawarensis,citation290
461,290,Larusdelawarensis,citation86
462,290,Larusdelawarensis,citation245
463,290,Larusdelawarensis,citation42
